Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
"2,5-Diphenyl-1,4-benzoquinone",31100,18,12,0,2,,,,,,0,,,,
"2,5-Di-tert-butyl-1,4-benzoquinone",15100,14,20,0,2,,,,,,0,,,,
"2',7'-Dichlorofluorescein",75000,20,10,0,5,,,,,,0,,,,
2-Acetylpyridine,7500,7,7,1,1,,,,,,0,,,,
2-Amino-4-methylpyrimidine,14500,5,7,3,0,,,,,,0,,,,
2-Aminonaphthalene,53700,10,9,1,0,,,,,,0,,,,
"2-Methyl-1,4-naphthoquinone",18200,11,8,0,2,,,,,,0,,,,
2-Methylbenzoxazole,10200,8,7,1,1,,,,,,0,,,,
"3,3',5,5-Tetramethylbenzidine",34800,16,20,2,0,,,,,,0,,,,
"3,3'-Dimethylbenzidine",41800,14,16,2,0,,,,,,0,,,,
"3,4,5,6-Tetrachloro-1,2-benzoquinone",1480,6,0,0,2,,,,,,0,,,,
"3,4,5,6-Tetrachlorofluorescein",65500,20,8,0,5,,,,,,0,,,,
3-Hydroxyacetophenone,19000,8,8,0,2,,,,,,0,,,,
3-Quinoline carboxaldehyde,1330,10,7,1,1,,,,,,0,,,,
4-(4-Nitrobenzyl)pyridine,12300,12,10,2,2,,,,,,0,,,,
"4,4'-Bipyridine",12600,10,8,2,0,,,,,,0,,,,
"4,4'-Dihydroxybenzophenone",15200,13,10,0,3,,,,,,0,,,,
4-Chloro-7-nitrobenzofurazan,8130,6,2,3,3,,,,,,0,,,,
4-Dimethylamino-4'-nitrostilbene,27000,16,16,2,2,,,,,,3,,,,
4-Dimethylaminopyridine,13300,7,10,2,0,,,,,,0,,,,
4-Hydroxycoumarin,8470,9,6,0,3,,,,,,0,,,,
"5,12-Naphthacenequinone",36300,18,10,0,2,,,,,,0,,,,
5-Phenyldipyrromethane,36000,15,14,2,0,,,,,,0,,,,
"6,13-Pentacenequinone",107000,22,12,0,2,,,,,,0,,,,
"7,7,8,8-Tetracyanoquinodimethane",42700,12,4,4,0,,,,,,0,,,,
"7-Benzylamino-4-nitrobenz-2-oxa-1,3-diazole",19700,13,10,4,3,,,,,,0,,,,
7-Hydroxy-4-(trifluoromethyl)coumarin,12600,10,5,0,3,,,,,,0,,,,
7-Hydroxycoumarin,16800,9,6,0,3,,,,,,0,,,,
7-Methoxycoumarin-4-acetic acid,11820,12,10,0,5,,,,,,0,,,,
8-Anilino-1-naphthalenesulfonic acid,25100,16,13,1,3,,,,,,0,,,,
8-Quinoline carboxylic acid,31900,10,7,1,2,,,,,,0,,,,
"9,10-Anthraquinone",56800,14,8,0,2,,,,,,0,,,,
"9,10-Bis(phenylethynyl)anthracene",87000,30,18,0,0,,,,,,0,,,,
"9,10-Diphenylanthracene",14000,26,18,0,0,,,,,,0,,,,
"9,10-Phenanthrenequinone",29000,14,8,0,2,,,,,,0,,,,
Acetophenone,12800,8,8,0,1,,,,,,0,,,,
Acid Black 1,51600,22,14,6,9,,,,,,0,,,,
Acid Blue 92,32300,26,16,3,10,,,,,,0,,,,
Acid Red 1,31900,18,13,3,8,,,,,,0,,,,
Acid Red 14,24000,20,12,2,7,,,,,,0,,,,
Acid Red 2,18500,15,15,3,2,,,,,,0,,,,
Acid Red 88,11700,20,13,2,4,,,,,,0,,,,
Acid Violet 3,36000,16,11,3,8,,,,,,0,,,,
Acridine,178000,13,9,1,0,,,,,,0,,,,
Acridine Orange,49100,17,19,3,0,,,,,,0,,,,
Acridine Yellow G,51100,15,16,3,0,,,,,,0,,,,
Acridone,99900,13,9,1,1,,,,,,0,,,,
Adenine,13000,5,5,5,0,,,,,,0,,,,
Alizarin,28400,14,8,0,4,,,,,,0,,,,
Alizarin Red S,20000,14,7,0,7,,,,,,0,,,,
all trans-Retinal,43500,20,28,0,1,,,,,,0,,,,
Aniline,1760,6,7,1,0,,,,,,0,,,,
Anisole,7800,7,8,0,1,,,,,,0,,,,
Anthracene,9700,14,10,0,0,,,,,,0,,,,
Auramine O,25300,17,22,3,0,,,,,,0,,,,
Azobenzene,22400,12,10,2,0,,,,,,0,,,,
Azure II,81300,31,34,6,0,,,,,,0,,,,
Benzaldehyde,13200,7,6,0,1,,,,,,0,,,,
Benzidine,67500,12,12,2,0,,,,,,0,,,,
Benzoic acid,8270,7,6,0,2,,,,,,0,,,,
Benzonitrile,13100,7,5,1,0,,,,,,0,,,,
